N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,oter,fear,0.550087,38,-0.332334,0.241471,,,-0.133058,,,0.191513,,0.203307,0.033896,,-0.117532,,,,,,0.400444,-0.19225,,,-0.063288,,-0.1683
6,gw,oter,fear,0.285833,38,-0.57164,0.357937,,,-0.124798,,,0.207255,,,,,,,,,,,0.442484,-0.146747,,,,,-0.115695
7,gw,oter,fear,0.701551,38,,0.341128,,,-0.087217,,,0.127645,,,,,,0.065879,,,,,0.329649,-0.172559,,,-0.038942,,-0.148514
8,gw,oter,fear,0.681895,38,,0.30599,,0.279243,,0.112375,,,,,,-0.100541,-0.109301,0.156694,,,,,,,,0.090912,,,0.017455
9,gw,oter,fear,0.731651,38,,0.385313,,,,0.076673,0.235081,,-0.221979,,,-0.0577,-0.141365,0.155903,,,,,,-0.062732,,0.063762,-0.033716,,-0.008614
10,gw,oter,fear,0.76227,38,0.248972,0.364162,-0.240403,,,0.079109,0.201561,,-0.189878,,,-0.055106,-0.138406,0.132495,,,,,,,,0.046918,,,0.030723
11,gw,oter,fear,0.822442,38,0.332686,0.277018,,,,,0.222338,,-0.228855,,,-0.039877,,0.132028,,,0.027332,,,,,,,,0.134019
12,gw,oter,fear,0.787147,38,,0.392178,,,,,0.139328,0.133898,-0.280103,,,-0.033029,-0.086942,0.147206,,,,,,,,,,,0.09471
13,gw,oter,fear,0.740543,38,,0.319028,,,,,0.147803,0.119201,-0.263197,,,-0.039004,-0.075775,0.130685,,,,,,,,,,,0.113286
14,gw,oter,fear,0.767123,38,,0.301645,,,,,0.265024,,-0.251436,,,-0.042626,,0.112624,,,,,,,,,,,0.12226
15,gw,oter,fear,0.727662,38,,0.284355,,,,,,0.163288,-0.242085,,,-0.035073,,0.106405,,,0.020362,,,,,,,,0.150429
16,gw,oter,fear,0.766653,38,,0.300143,,,,,0.311172,,-0.306629,,,-0.046618,-0.09645,0.125251,,,,,,,,,,,0.141037
17,gw,oter,fear,0.779761,38,,0.307634,,,,,0.326246,,-0.299171,,,-0.044889,-0.10503,0.11254,,,,,,,,,,,0.137931
18,gw,oter,fear,0.735687,38,,0.29771,,-0.080923,,,0.36447,,-0.400964,,,-0.05763,,0.114455,,,0.021672,,,,,,,,0.192962
19,gw,oter,fear,0.666711,38,,0.274322,,,,,,0.154137,-0.165878,,,,,,,,,,,,,,,,0.084615
20,gw,oter,fear,0.696478,38,,0.251037,,,,,,0.109341,,,,,-0.115116,0.056165,,,,,,,,,,,0.08408
21,gw,oter,fear,0.681856,38,,0.225468,,,,,,0.103572,,,,,-0.132226,0.050689,,,,,,,,,,,0.092313
22,gw,oter,fear,0.424321,38,,0.269141,,-0.084705,0.049102,,0.405747,,-0.297597,,,-0.067434,-0.119272,0.164046,-0.107856,,,,,-0.0553,,0.058379,,-0.027047,0.290783
23,gw,oter,fear,0.600184,38,,0.292965,,,0.048762,,,0.179102,-0.210872,,,-0.033325,-0.134613,0.080696,,,,,,,,,,,0.204448
24,gw,oter,fear,0.640499,38,,0.300093,,,0.051625,,,0.1854,-0.220283,,,-0.036369,-0.136979,0.085179,,,,,,,,,,,0.211102
25,gw,oter,fear,0.584851,38,,0.307336,,,0.042864,,,0.211288,-0.187061,,,,-0.077933,,,0.053326,,,,,,,,,0.136136